Fecha,IPC_Nivel,TPM_Porcentaje,TBP_Porcentaje,TAN_Porcentaje,Credito_Sistema_Financiero,Tipo_Cambio_Compra,Tipo_Cambio_Venta
1982-02-19,,,21.5,,,,
1982-02-20,,,21.5,,,,
1982-02-21,,,21.5,,,,
1982-02-22,,,21.5,,,,
1982-02-23,,,21.5,,,,
1982-02-24,,,21.5,,,,
1982-02-25,,,21.5,,,,
1982-02-26,,,21.5,,,,
1982-02-27,,,21.5,,,,
1982-02-28,1.3508749,,21.5,,,,
1982-03-01,,,21.5,,,,
1982-03-02,,,21.5,,,,
1982-03-03,,,21.5,,,,
1982-03-04,,,21.5,,,,
1982-03-05,,,21.5,,,,
1982-03-06,,,21.5,,,,
1982-03-07,,,21.5,,,,
1982-03-08,,,21.5,,,,
1982-03-09,,,21.5,,,,
1982-03-10,,,21.5,,,,
1982-03-11,,,21.5,,,,
1982-03-12,,,21.5,,,,
1982-03-13,,,21.5,,,,
1982-03-14,,,21.5,,,,
1982-03-15,,,21.5,,,,
1982-03-16,,,21.5,,,,
1982-03-17,,,21.5,,,,
1982-03-18,,,21.5,,,,
1982-03-19,,,21.5,,,,
1982-03-20,,,21.5,,,,
1982-03-21,,,21.5,,,,
1982-03-22,,,21.5,,,,
1982-03-23,,,21.5,,,,
1982-03-24,,,21.5,,,,
1982-03-25,,,21.5,,,,
1982-03-26,,,21.5,,,,
1982-03-27,,,21.5,,,,
1982-03-28,,,21.5,,,,
1982-03-29,,,21.5,,,,
1982-03-30,,,21.5,,,,
1982-03-31,1.43788138,,21.5,,,,
1982-04-01,,,21.5,,,,
1982-04-02,,,21.5,,,,
1982-04-03,,,21.5,,,,
1982-04-04,,,21.5,,,,
1982-04-05,,,21.5,,,,
1982-04-06,,,21.5,,,,
1982-04-07,,,21.5,,,,
1982-04-08,,,21.5,,,,
1982-04-09,,,21.5,,,,
1982-04-10,,,21.5,,,,
1982-04-11,,,21.5,,,,
1982-04-12,,,21.5,,,,
1982-04-13,,,21.5,,,,
1982-04-14,,,21.5,,,,
1982-04-15,,,21.5,,,,
1982-04-16,,,21.5,,,,
1982-04-17,,,21.5,,,,
1982-04-18,,,21.5,,,,
1982-04-19,,,21.5,,,,
1982-04-20,,,21.5,,,,
1982-04-21,,,21.5,,,,
1982-04-22,,,21.5,,,,
1982-04-23,,,21.5,,,,
1982-04-24,,,21.5,,,,
1982-04-25,,,21.5,,,,
1982-04-26,,,21.5,,,,
1982-04-27,,,21.5,,,,
1982-04-28,,,21.5,,,,
1982-04-29,,,21.5,,,,
1982-04-30,1.49682909,,21.5,,,,
1982-05-01,,,21.5,,,,
1982-05-02,,,21.5,,,,
1982-05-03,,,21.5,,,,
1982-05-04,,,21.5,,,,
1982-05-05,,,21.5,,,,
1982-05-06,,,21.5,,,,
1982-05-07,,,21.5,,,,
1982-05-08,,,21.5,,,,
1982-05-09,,,21.5,,,,
1982-05-10,,,21.5,,,,
1982-05-11,,,21.5,,,,
1982-05-12,,,21.5,,,,
1982-05-13,,,21.5,,,,
1982-05-14,,,21.5,,,,
1982-05-15,,,21.5,,,,
1982-05-16,,,21.5,,,,
1982-05-17,,,21.5,,,,
1982-05-18,,,21.5,,,,
1982-05-19,,,21.5,,,,
1982-05-20,,,21.5,,,,
1982-05-21,,,21.5,,,,
1982-05-22,,,21.5,,,,
1982-05-23,,,21.5,,,,
1982-05-24,,,21.5,,,,
1982-05-25,,,21.5,,,,
1982-05-26,,,21.5,,,,
1982-05-27,,,21.5,,,,
1982-05-28,,,21.5,,,,
1982-05-29,,,21.5,,,,
1982-05-30,,,21.5,,,,
1982-05-31,1.5700397,,21.5,,,,
1982-06-01,,,21.5,,,,
1982-06-02,,,21.5,,,,
1982-06-03,,,21.5,,,,
1982-06-04,,,21.5,,,,
1982-06-05,,,21.5,,,,
1982-06-06,,,21.5,,,,
1982-06-07,,,21.5,,,,
1982-06-08,,,21.5,,,,
1982-06-09,,,21.5,,,,
1982-06-10,,,21.5,,,,
1982-06-11,,,21.5,,,,
1982-06-12,,,21.5,,,,
1982-06-13,,,21.5,,,,
1982-06-14,,,21.5,,,,
1982-06-15,,,21.5,,,,
1982-06-16,,,21.5,,,,
1982-06-17,,,21.5,,,,
1982-06-18,,,21.5,,,,
1982-06-19,,,21.5,,,,
1982-06-20,,,21.5,,,,
1982-06-21,,,21.5,,,,
1982-06-22,,,21.5,,,,
1982-06-23,,,21.5,,,,
1982-06-24,,,21.5,,,,
1982-06-25,,,21.5,,,,
1982-06-26,,,21.5,,,,
1982-06-27,,,21.5,,,,
1982-06-28,,,21.5,,,,
1982-06-29,,,21.5,,,,
1982-06-30,1.67349475,,21.5,,,,
1982-07-01,,,21.5,,,,
1982-07-02,,,21.5,,,,
1982-07-03,,,21.5,,,,
1982-07-04,,,21.5,,,,
1982-07-05,,,21.5,,,,
1982-07-06,,,21.5,,,,
1982-07-07,,,21.5,,,,
1982-07-08,,,21.5,,,,
1982-07-09,,,21.5,,,,
1982-07-10,,,21.5,,,,
1982-07-11,,,21.5,,,,
1982-07-12,,,21.5,,,,
1982-07-13,,,21.5,,,,
1982-07-14,,,21.5,,,,
1982-07-15,,,21.5,,,,
1982-07-16,,,21.5,,,,
1982-07-17,,,21.5,,,,
1982-07-18,,,21.5,,,,
1982-07-19,,,21.5,,,,
1982-07-20,,,21.5,,,,
1982-07-21,,,21.5,,,,
1982-07-22,,,21.5,,,,
1982-07-23,,,21.5,,,,
1982-07-24,,,21.5,,,,
1982-07-25,,,21.5,,,,
1982-07-26,,,21.5,,,,
1982-07-27,,,21.5,,,,
1982-07-28,,,21.5,,,,
1982-07-29,,,21.5,,,,
1982-07-30,,,21.5,,,,
1982-07-31,1.8530653,,21.5,,,,
1982-08-01,,,21.5,,,,
1982-08-02,,,21.5,,,,
1982-08-03,,,21.5,,,,
1982-08-04,,,21.5,,,,
1982-08-05,,,21.5,,,,
1982-08-06,,,21.5,,,,
1982-08-07,,,21.5,,,,
1982-08-08,,,21.5,,,,
1982-08-09,,,21.5,,,,
1982-08-10,,,21.5,,,,
1982-08-11,,,21.5,,,,
1982-08-12,,,21.5,,,,
1982-08-13,,,21.5,,,,
1982-08-14,,,21.5,,,,
1982-08-15,,,21.5,,,,
1982-08-16,,,21.5,,,,
1982-08-17,,,21.5,,,,
1982-08-18,,,21.5,,,,
1982-08-19,,,21.5,,,,
1982-08-20,,,21.5,,,,
1982-08-21,,,21.5,,,,
1982-08-22,,,21.5,,,,
1982-08-23,,,21.5,,,,
1982-08-24,,,21.5,,,,
1982-08-25,,,21.5,,,,
1982-08-26,,,21.5,,,,
1982-08-27,,,21.5,,,,
1982-08-28,,,21.5,,,,
1982-08-29,,,21.5,,,,
1982-08-30,,,21.5,,,,
1982-08-31,1.91975626,,21.5,,,,
1982-09-01,,,21.5,,,,
1982-09-02,,,21.5,,,,
1982-09-03,,,21.5,,,,
1982-09-04,,,21.5,,,,
1982-09-05,,,21.5,,,,
1982-09-06,,,21.5,,,,
1982-09-07,,,21.5,,,,
1982-09-08,,,21.5,,,,
1982-09-09,,,21.5,,,,
1982-09-10,,,21.5,,,,
1982-09-11,,,21.5,,,,
1982-09-12,,,21.5,,,,
1982-09-13,,,21.5,,,,
1982-09-14,,,21.5,,,,
1982-09-15,,,21.5,,,,
1982-09-16,,,21.5,,,,
1982-09-17,,,21.5,,,,
1982-09-18,,,21.5,,,,
1982-09-19,,,21.5,,,,
1982-09-20,,,21.5,,,,
1982-09-21,,,21.5,,,,
1982-09-22,,,21.5,,,,
1982-09-23,,,21.5,,,,
1982-09-24,,,21.5,,,,
1982-09-25,,,21.5,,,,
1982-09-26,,,21.5,,,,
1982-09-27,,,21.5,,,,
1982-09-28,,,21.5,,,,
1982-09-29,,,21.5,,,,
1982-09-30,2.02321131,,21.5,,,,
1982-10-01,,,21.5,,,,
1982-10-02,,,21.5,,,,
1982-10-03,,,21.5,,,,
1982-10-04,,,21.5,,,,
1982-10-05,,,21.5,,,,
1982-10-06,,,21.5,,,,
1982-10-07,,,21.5,,,,
1982-10-08,,,21.5,,,,
1982-10-09,,,21.5,,,,
1982-10-10,,,21.5,,,,
1982-10-11,,,21.5,,,,
1982-10-12,,,21.5,,,,
1982-10-13,,,21.5,,,,
1982-10-14,,,21.5,,,,
1982-10-15,,,21.5,,,,
1982-10-16,,,21.5,,,,
1982-10-17,,,21.5,,,,
1982-10-18,,,21.5,,,,
1982-10-19,,,21.5,,,,
1982-10-20,,,21.5,,,,
1982-10-21,,,21.5,,,,
1982-10-22,,,21.5,,,,
1982-10-23,,,21.5,,,,
1982-10-24,,,21.5,,,,
1982-10-25,,,21.5,,,,
1982-10-26,,,21.5,,,,
1982-10-27,,,21.5,,,,
1982-10-28,,,21.5,,,,
1982-10-29,,,21.5,,,,
1982-10-30,,,21.5,,,,
1982-10-31,2.08470897,,21.5,,,,
1982-11-01,,,21.5,,,,
1982-11-02,,,21.5,,,,
1982-11-03,,,21.5,,,,
1982-11-04,,,21.5,,,,
1982-11-05,,,21.5,,,,
1982-11-06,,,21.5,,,,
1982-11-07,,,21.5,,,,
1982-11-08,,,21.5,,,,
1982-11-09,,,21.5,,,,
1982-11-10,,,21.5,,,,
1982-11-11,,,21.5,,,,
1982-11-12,,,21.5,,,,
1982-11-13,,,21.5,,,,
1982-11-14,,,21.5,,,,
1982-11-15,,,21.5,,,,
1982-11-16,,,21.5,,,,
1982-11-17,,,21.5,,,,
1982-11-18,,,21.5,,,,
1982-11-19,,,21.5,,,,
1982-11-20,,,21.5,,,,
1982-11-21,,,21.5,,,,
1982-11-22,,,21.5,,,,
1982-11-23,,,21.5,,,,
1982-11-24,,,21.5,,,,
1982-11-25,,,21.5,,,,
1982-11-26,,,21.5,,,,
1982-11-27,,,21.5,,,,
1982-11-28,,,21.5,,,,
1982-11-29,,,21.5,,,,
1982-11-30,2.11683085,,21.5,,,,
1982-12-01,,,25.0,,,,
1982-12-02,,,25.0,,,,
1982-12-03,,,25.0,,,,
1982-12-04,,,25.0,,,,
1982-12-05,,,25.0,,,,
1982-12-06,,,25.0,,,,
1982-12-07,,,25.0,,,,
1982-12-08,,,25.0,,,,
1982-12-09,,,25.0,,,,
1982-12-10,,,25.0,,,,
1982-12-11,,,25.0,,,,
1982-12-12,,,25.0,,,,
1982-12-13,,,25.0,,,,
1982-12-14,,,25.0,,,,
1982-12-15,,,25.0,,,,
1982-12-16,,,25.0,,,,
1982-12-17,,,25.0,,,,
1982-12-18,,,25.0,,,,
1982-12-19,,,25.0,,,,
1982-12-20,,,25.0,,,,
1982-12-21,,,25.0,,,,
1982-12-22,,,25.0,,,,
1982-12-23,,,25.0,,,,
1982-12-24,,,25.0,,,,
1982-12-25,,,25.0,,,,
1982-12-26,,,25.0,,,,
1982-12-27,,,25.0,,,,
1982-12-28,,,25.0,,,,
1982-12-29,,,25.0,,,,
1982-12-30,,,25.0,,,,
1982-12-31,2.16338376,,25.0,,,,
1983-01-01,,,25.0,,,44.95,45.45
1983-01-02,,,25.0,,,44.95,45.45
1983-01-03,,,25.0,,,44.95,45.45
1983-01-04,,,25.0,,,44.95,45.45
1983-01-05,,,25.0,,,44.95,45.45
1983-01-06,,,25.0,,,44.95,45.45
1983-01-07,,,25.0,,,44.95,45.45
1983-01-08,,,25.0,,,44.95,45.45
1983-01-09,,,25.0,,,44.95,45.45
1983-01-10,,,25.0,,,44.95,45.45
1983-01-11,,,25.0,,,44.9,45.4
1983-01-12,,,25.0,,,44.9,45.4
1983-01-13,,,25.0,,,44.9,45.4
1983-01-14,,,25.0,,,44.9,45.4
1983-01-15,,,25.0,,,44.9,45.4
1983-01-16,,,25.0,,,44.9,45.4
1983-01-17,,,25.0,,,44.9,45.4
1983-01-18,,,25.0,,,44.85,45.35
1983-01-19,,,25.0,,,44.85,45.35
1983-01-20,,,25.0,,,44.85,45.35
1983-01-21,,,25.0,,,44.8,45.3
1983-01-22,,,25.0,,,44.8,45.3
1983-01-23,,,25.0,,,44.8,45.3
1983-01-24,,,25.0,,,44.8,45.3
1983-01-25,,,25.0,,,44.75,45.25
1983-01-26,,,25.0,,,44.75,45.25
1983-01-27,,,25.0,,,44.75,45.25
1983-01-28,,,25.0,,,44.75,45.25
1983-01-29,,,25.0,,,44.75,45.25
1983-01-30,,,25.0,,,44.75,45.25
1983-01-31,2.22005239,,25.0,,,44.75,45.25
1983-02-01,,,25.0,,,44.7,45.2
1983-02-02,,,25.0,,,44.7,45.2
1983-02-03,,,25.0,,,44.7,45.2
1983-02-04,,,25.0,,,44.7,45.2
1983-02-05,,,25.0,,,44.7,45.2
1983-02-06,,,25.0,,,44.7,45.2
1983-02-07,,,25.0,,,44.7,45.2
1983-02-08,,,25.0,,,44.7,45.2
1983-02-09,,,25.0,,,44.7,45.2
1983-02-10,,,25.0,,,44.7,45.2
