Fecha,IPC_Nivel,TPM_Porcentaje,TBP_Porcentaje,TAN_Porcentaje,Credito_Sistema_Financiero,IHH,Morosidad_%,IHH_Lag3,IHH_Lag6,Morosidad_Lag3,Morosidad_Lag6,Credito_Lag3
2014-05-31,92.10978884,5.25,6.85,16.66765293,13591224.334315,1067.3587804183442,8.19307790973332,1085.9291045387804,1086.2362505325445,8.098955650292902,8.668537630088865,13052192.5455587
2014-06-30,92.46114068,5.25,6.95,16.6276056,13648811.8860616,1060.3534022509562,8.152110088969094,1079.5644386023548,1087.7482153361984,8.091113164502191,8.36893673937796,13248661.7035652
2014-07-31,93.30406865,5.25,7.0,16.66514214,13799702.0459234,1060.2822363014623,7.950061874636578,1075.227160720298,1087.4573313341307,8.296332109929486,8.375332532749463,13418596.9591021
2014-08-31,93.6138515,5.25,7.1,16.26846962,13951366.9009658,1055.3226045211757,7.949421200964381,1067.3587804183442,1085.9291045387804,8.19307790973332,8.098955650292902,13591224.334315
2014-09-30,93.4850984,5.25,7.15,16.671587,14012150.131509,1048.463640548475,7.822688304415975,1060.3534022509562,1079.5644386023548,8.152110088969094,8.091113164502191,13648811.8860616
2014-10-31,93.21436857,5.25,7.2,16.57921961,14194689.9866339,1042.985645021598,7.742826341581899,1060.2822363014623,1075.227160720298,7.950061874636578,8.296332109929486,13799702.0459234
2014-11-30,93.53338269,5.25,7.2,16.49963364,14409102.1767157,1039.4430084404928,7.7030295180923165,1055.3226045211757,1067.3587804183442,7.949421200964381,8.19307790973332,13951366.9009658
2014-12-31,93.33323837,5.25,7.2,17.00963906,14585057.881653,1034.5688826775192,7.861546721519769,1048.463640548475,1060.3534022509562,7.822688304415975,8.152110088969094,14012150.131509
2015-01-31,93.36925676,5.25,7.2,16.77849441,14606933.6981184,1033.4563210568472,8.058376673204858,1042.985645021598,1060.2822363014623,7.742826341581899,7.950061874636578,14194689.9866339
2015-02-28,93.21522756,4.75,7.15,16.74031511,14674538.6946499,1024.8393161533497,8.164468256622442,1039.4430084404928,1055.3226045211757,7.7030295180923165,7.949421200964381,14409102.1767157
